Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,336.00,336.80,326.20,328.50,3449200,328.50
2012-03-23,324.00,340.00,321.10,335.45,7685700,335.45
2012-03-21,323.55,334.00,322.10,332.70,5826400,332.70
2012-03-20,325.00,326.45,320.65,322.55,4836200,322.55
2012-03-19,331.00,331.35,322.30,325.45,4739000,325.45
2012-03-16,333.00,335.30,327.00,328.00,4397000,328.00
2012-03-15,338.00,338.40,330.10,331.55,3090500,331.55
2012-03-14,341.45,345.80,337.40,338.30,4421000,338.30
2012-03-13,340.20,342.40,336.30,339.20,3788800,339.20
2012-03-12,344.90,344.90,336.65,338.85,2599700,338.85
2012-03-09,334.80,339.80,331.05,339.00,4879300,339.00
2012-03-07,336.00,336.95,327.65,329.65,4506400,329.65
2012-03-06,346.00,351.00,334.35,335.40,3461700,335.40
2012-03-05,348.00,354.90,345.15,348.00,3461000,348.00
2012-03-02,348.90,352.25,344.10,349.50,3724800,349.50
2012-03-01,349.00,350.20,344.00,346.45,2094600,346.45
2012-02-29,343.35,352.35,343.35,350.00,4609700,350.00
2012-02-28,343.00,349.90,339.20,343.00,2671700,343.00
2012-02-27,344.70,347.45,337.50,340.00,3488300,340.00
2012-02-24,345.00,347.20,338.25,341.45,3574300,341.45
2012-02-23,340.60,343.75,333.65,341.85,11599100,341.85
2012-02-22,362.50,362.50,340.15,346.95,11157000,346.95
2012-02-21,350.00,360.50,346.20,359.70,8280000,359.70
2012-02-17,355.00,355.55,347.15,350.00,9397100,350.00
2012-02-16,353.50,356.70,346.00,350.30,7955000,350.30
2012-02-15,346.00,353.00,343.85,348.00,10631900,348.00
2012-02-14,349.00,349.00,341.05,342.05,7382000,342.05
2012-02-13,350.40,351.95,343.60,347.00,7639200,347.00
2012-02-10,351.00,357.40,348.00,350.00,8913100,350.00
2012-02-09,352.75,353.95,344.40,351.20,13701800,351.20
2012-02-08,370.00,370.00,351.40,352.95,23297300,352.95
2012-02-07,390.00,390.50,374.60,379.55,6214900,379.55
2012-02-06,394.00,394.00,385.25,388.20,6051500,388.20
2012-02-03,393.50,400.95,385.60,387.40,16171400,387.40
2012-02-02,367.00,395.45,358.60,384.70,25324200,384.70
2012-02-01,364.80,364.80,356.55,361.65,5671000,361.65
2012-01-31,361.80,370.45,355.00,366.00,4600100,366.00
2012-01-30,372.00,373.90,355.05,357.50,2539900,357.50
2012-01-27,365.95,375.80,358.80,372.95,4671100,372.95
2012-01-25,360.00,364.45,354.10,363.05,4263300,363.05
2012-01-24,354.70,361.60,352.25,354.95,3563700,354.95
2012-01-23,340.05,354.60,340.05,352.00,3034900,352.00
2012-01-20,342.15,346.90,337.65,342.50,3100300,342.50
2012-01-19,339.00,344.60,336.25,340.85,4204600,340.85
2012-01-18,347.40,351.70,343.50,345.60,2158500,345.60
2012-01-17,344.70,347.50,340.30,345.10,4661900,345.10
2012-01-16,335.15,342.80,335.00,340.05,3394300,340.05
2012-01-13,330.00,338.50,328.45,334.35,7423500,334.35
2012-01-12,327.95,329.95,324.30,328.90,4267100,328.90
2012-01-11,332.00,332.00,323.20,326.20,6196300,326.20
2012-01-10,321.05,333.40,321.05,330.30,8891300,330.30
2012-01-06,342.00,342.00,328.30,330.60,7905900,330.60
2012-01-05,347.00,348.80,342.10,343.60,2897700,343.60
2012-01-04,355.15,357.00,345.50,346.50,2922300,346.50
2012-01-03,347.50,360.45,345.25,358.10,2114700,358.10
2012-01-02,344.50,348.90,342.25,345.25,1963800,345.25
2011-12-30,342.10,346.20,338.15,344.00,3435700,344.00
2011-12-29,343.00,350.80,336.30,340.50,5068200,340.50
2011-12-28,342.70,345.95,339.60,344.30,1943200,344.30
2011-12-27,345.10,347.95,340.20,344.70,2520500,344.70
2011-12-26,334.00,345.60,333.00,345.55,3666800,345.55
2011-12-23,336.00,337.85,327.65,330.90,3240700,330.90
2011-12-22,339.00,342.00,323.30,333.00,5911400,333.00
2011-12-21,332.00,345.15,327.70,344.00,4648900,344.00
2011-12-20,339.80,339.80,319.25,323.05,8050300,323.05
2011-12-19,334.00,343.40,321.25,336.05,10875900,336.05
2011-12-16,337.65,352.60,329.50,334.35,7129000,334.35
2011-12-15,338.00,342.20,332.00,338.65,9889900,338.65
2011-12-14,345.20,353.80,341.90,348.75,5326600,348.75
2011-12-13,339.60,350.80,336.95,347.40,6110700,347.40
2011-12-12,361.35,362.80,340.45,343.05,7915000,343.05
2011-12-09,364.40,365.90,351.65,359.50,8867100,359.50
2011-12-08,376.50,376.50,364.10,366.00,5981200,366.00
2011-12-07,390.50,391.00,376.00,376.60,7499000,376.60
2011-12-05,392.10,397.80,385.65,389.80,4608200,389.80
2011-12-02,381.30,393.85,372.30,393.85,9427800,393.85
2011-12-01,392.90,395.65,374.85,377.45,8410400,377.45
2011-11-30,376.00,389.00,367.25,378.70,47139200,378.70
2011-11-29,390.80,392.15,368.10,372.90,6858500,372.90
2011-11-28,378.00,389.80,377.45,389.15,5911500,389.15
2011-11-25,375.95,382.20,370.50,373.80,4637700,373.80
2011-11-24,367.00,384.50,363.20,375.00,12051900,375.00
2011-11-23,374.00,374.00,354.80,365.40,10060800,365.40
2011-11-22,387.00,388.80,372.60,379.15,6424800,379.15
2011-11-21,384.00,395.80,383.00,387.00,9322900,387.00
2011-11-18,391.60,402.00,391.60,398.25,5670700,398.25
2011-11-17,402.40,408.80,392.75,393.05,3947700,393.05
2011-11-16,404.90,412.00,395.80,403.00,6320500,403.00
2011-11-15,405.00,408.50,400.10,401.05,5694300,401.05
2011-11-14,398.65,406.70,397.50,405.00,5906500,405.00
2011-11-11,390.00,398.90,388.95,396.00,3363500,396.00
2011-11-09,395.60,402.50,393.00,394.15,3174100,394.15
2011-11-08,397.00,402.30,395.15,397.40,3987700,397.40
2011-11-04,391.00,400.50,385.05,397.40,7576400,397.40
2011-11-03,383.45,394.80,383.05,394.55,3287600,394.55
2011-11-02,390.05,395.70,383.25,383.80,2653500,383.80
2011-11-01,386.80,396.00,386.80,393.30,1640800,393.30
2011-10-31,393.80,395.60,388.35,391.55,2182700,391.55
2011-10-28,399.20,409.30,389.10,391.00,4265500,391.00
2011-10-26,391.00,395.00,391.00,393.20,365600,393.20
2011-10-25,386.00,393.65,381.90,390.60,3190900,390.60
2011-10-24,384.40,384.80,377.05,383.50,2204500,383.50
2011-10-21,391.90,391.90,376.50,378.85,2936000,378.85
2011-10-20,381.00,391.95,380.00,388.90,2500400,388.90
2011-10-19,375.30,386.60,371.75,385.00,3861100,385.00
2011-10-18,374.55,379.45,371.35,374.50,2986500,374.50
2011-10-17,381.45,386.85,377.15,380.60,2473400,380.60
2011-10-14,367.20,384.90,367.20,384.00,3693500,384.00
2011-10-13,376.00,376.90,366.10,370.00,4699100,370.00
2011-10-12,376.00,377.95,370.15,372.15,3708900,372.15
2011-10-11,367.25,380.45,367.00,372.25,6300200,372.25
2011-10-10,352.00,368.00,343.55,366.25,10066700,366.25
2011-10-07,371.20,375.90,348.20,353.45,13527000,353.45
2011-10-05,373.90,373.90,365.05,368.20,4481600,368.20
2011-10-04,378.50,383.10,365.35,370.60,4761300,370.60
2011-10-03,373.10,382.95,371.05,382.70,3213700,382.70
2011-09-30,376.85,388.50,371.75,378.50,3183800,378.50
2011-09-29,377.00,380.80,373.60,377.00,3807700,377.00
2011-09-28,389.80,389.80,376.95,379.15,1838100,379.15
2011-09-27,386.50,389.45,381.65,387.00,4798500,387.00
2011-09-26,376.75,385.35,368.00,380.00,3562600,380.00
2011-09-23,369.00,382.20,360.65,374.00,7091600,374.00
2011-09-22,388.70,388.70,368.05,373.65,4916700,373.65
2011-09-21,394.95,395.45,391.50,393.25,2455800,393.25
2011-09-20,388.80,392.50,385.80,391.15,3666900,391.15
2011-09-19,384.00,389.90,379.50,386.90,3038900,386.90
2011-09-16,388.80,389.80,381.65,387.00,6222300,387.00
2011-09-15,382.00,389.90,372.70,389.00,4522000,389.00
2011-09-14,383.00,384.00,372.50,377.50,5730400,377.50
2011-09-13,389.90,391.85,379.40,380.40,3754100,380.40
2011-09-12,397.05,397.85,382.55,384.00,2961200,384.00
2011-09-09,403.90,407.00,395.60,399.70,5413400,399.70
2011-09-08,401.65,404.30,396.20,398.95,3560700,398.95
2011-09-07,400.00,405.80,398.05,401.60,4227700,401.60
2011-09-06,403.10,406.00,390.85,397.70,4443100,397.70
2011-09-05,402.50,409.25,400.70,404.80,2656500,404.80
2011-09-02,416.00,418.95,406.50,408.10,5160100,408.10
2011-08-30,407.00,416.45,401.05,403.65,5031300,403.65
2011-08-29,403.00,410.70,402.75,405.75,3285200,405.75
2011-08-26,400.40,408.30,395.35,399.95,5659700,399.95
2011-08-25,401.90,409.40,392.85,404.05,7669300,404.05
2011-08-24,400.00,404.15,395.30,399.75,4746900,399.75
2011-08-23,394.70,404.80,392.50,402.30,8628600,402.30
2011-08-22,382.20,394.40,381.10,393.95,3315800,393.95
2011-08-19,387.00,394.85,377.20,383.00,7318900,383.00
2011-08-18,397.70,402.20,390.10,392.25,5873000,392.25
2011-08-17,394.10,400.90,383.60,397.00,4883800,397.00
2011-08-16,392.75,402.80,387.80,397.00,11345400,396.00
2011-08-12,401.00,401.30,385.00,386.00,6347800,385.03
2011-08-11,406.00,406.90,395.00,395.00,6684200,394.01
2011-08-10,411.00,413.45,399.20,407.20,6569000,406.17
2011-08-09,393.25,412.40,392.15,407.65,9114700,406.62
2011-08-08,400.00,414.85,395.30,410.00,7831100,408.97
2011-08-05,408.90,420.95,408.80,415.65,5394600,414.60
2011-08-04,424.00,429.00,419.75,423.30,3547800,422.23
2011-08-03,428.00,431.90,412.70,426.25,13827700,425.18
2011-08-02,437.55,439.75,430.00,430.90,2738600,429.81
2011-08-01,447.85,447.85,437.80,441.00,3882300,439.89
2011-07-29,430.50,439.25,426.15,437.05,7205800,435.95
2011-07-28,422.50,433.50,422.50,429.75,4438100,428.67
2011-07-27,426.90,432.40,422.50,429.80,4767200,428.72
2011-07-26,430.00,432.65,422.25,423.35,7094500,422.28
2011-07-25,410.00,438.20,409.55,431.15,14105400,430.06
2011-07-22,397.60,412.55,396.15,410.90,10295100,409.86
2011-07-21,393.00,397.30,392.25,394.55,5021900,393.56
2011-07-20,400.00,401.00,393.70,394.85,2903000,393.86
2011-07-19,391.05,401.00,391.05,396.90,3422700,395.90
2011-07-18,390.30,395.50,390.15,392.15,975800,391.16
2011-07-15,398.25,398.50,391.30,392.60,1730700,391.61
2011-07-14,395.80,399.10,393.65,396.30,3456800,395.30
2011-07-13,387.10,397.30,386.40,396.60,5453900,395.60
