Date,Open,High,Low,Close,Volume,Adj Close
2012-03-26,354.90,355.00,345.90,347.75,770700,347.75
2012-03-23,347.40,357.85,346.45,354.65,1034000,354.65
2012-03-21,358.00,360.50,351.30,356.40,1506400,356.40
2012-03-20,351.90,365.00,349.70,357.95,3220500,357.95
2012-03-19,339.25,354.45,336.05,352.45,3115300,352.45
2012-03-16,369.95,370.45,340.85,343.85,5311300,343.85
2012-03-15,373.90,374.00,364.00,368.50,1309500,368.50
2012-03-14,379.00,380.95,373.40,374.50,1576500,374.50
2012-03-13,374.05,381.00,373.10,373.70,1560200,373.70
2012-03-12,377.20,379.00,368.00,372.60,1538600,372.60
2012-03-09,363.00,376.50,362.10,375.40,2244200,375.40
2012-03-07,360.00,365.00,355.20,357.50,2075500,357.50
2012-03-06,369.95,375.50,355.40,360.00,1765800,360.00
2012-03-05,372.00,375.00,368.45,371.55,1586000,371.55
2012-03-02,380.10,380.60,368.20,369.65,2187100,369.65
2012-03-01,368.00,378.00,367.10,375.80,2169600,375.80
2012-02-29,368.00,371.10,362.25,370.45,2404400,370.45
2012-02-28,377.40,378.50,362.05,367.70,4170600,367.70
2012-02-27,389.00,389.00,367.10,377.95,4141100,377.95
2012-02-24,386.00,391.00,377.65,381.00,2829000,381.00
2012-02-23,386.00,390.00,379.60,383.05,3358700,383.05
2012-02-22,391.75,401.10,382.50,384.00,3327000,384.00
2012-02-21,387.00,396.20,386.90,392.00,2651700,392.00
2012-02-17,396.00,397.20,378.70,390.00,4472900,390.00
2012-02-16,382.00,399.00,376.50,390.95,2909500,390.95
2012-02-15,382.00,384.05,376.10,376.70,1733100,376.70
2012-02-14,374.25,381.85,371.00,378.50,1651100,378.50
2012-02-13,378.00,379.80,371.05,373.00,1014200,373.00
2012-02-10,385.00,388.50,371.00,372.70,1834300,372.70
2012-02-09,376.00,385.00,376.00,383.00,5141100,383.00
2012-02-08,369.40,376.90,366.55,373.00,2354100,373.00
2012-02-07,360.00,371.40,359.95,365.75,4307000,365.75
2012-02-06,348.00,359.80,347.00,356.30,3825200,356.30
2012-02-03,338.80,348.50,335.20,343.90,3303400,343.90
2012-02-02,349.85,349.85,336.05,338.80,5260300,338.80
2012-02-01,342.90,348.50,340.25,347.00,2454800,347.00
2012-01-31,343.25,345.60,335.00,339.40,3060100,339.40
2012-01-30,350.80,350.80,340.25,340.25,1547200,340.25
2012-01-27,351.60,355.90,347.00,352.50,2285200,352.50
2012-01-25,360.00,366.60,343.50,345.50,8149700,345.50
2012-01-24,348.50,353.90,346.50,350.20,2744600,350.20
2012-01-23,341.90,345.75,337.50,344.90,1727200,344.90
2012-01-20,350.00,350.00,342.50,345.75,1622200,345.75
2012-01-19,348.10,352.00,343.80,348.00,1545300,348.00
2012-01-18,345.00,351.10,341.00,343.50,2337100,343.50
2012-01-17,340.90,347.80,339.00,345.80,2754800,345.80
2012-01-16,335.50,341.45,332.65,337.00,1631300,337.00
2012-01-13,330.10,337.85,328.20,335.30,2045500,335.30
2012-01-12,332.85,332.85,322.30,330.15,1476700,330.15
2012-01-11,337.80,338.00,328.15,332.00,2016800,332.00
2012-01-10,336.00,341.00,334.00,335.75,2425500,335.75
